| #  | PROV | COURSE                       | DOC                                          | TIER      | SAVE_AS                              | URL                                                                                                                                                       | STATUS |
|----|------|------------------------------|----------------------------------------------|-----------|--------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------|--------|
| 01 | BC   | Foundations & Pre-Calc 10    | Curriculum (with elaborations)               | Primary   | bc/fmpc10_elab.pdf                   | https://curriculum.gov.bc.ca/sites/curriculum.gov.bc.ca/files/curriculum/mathematics/en_mathematics_10_foundations-of-mathematics-and-pre-calculus_elab.pdf | [ ]    |
| 02 | BC   | Pre-Calculus 11              | Curriculum (with elaborations)               | Primary   | bc/pc11_elab.pdf                     | https://curriculum.gov.bc.ca/sites/curriculum.gov.bc.ca/files/curriculum/mathematics/en_mathematics_11_pre-calculus_elab.pdf                              | [ ]    |
| 03 | BC   | Pre-Calculus 12              | Curriculum (with elaborations)               | Primary   | bc/pc12_elab.pdf                     | https://curriculum.gov.bc.ca/sites/curriculum.gov.bc.ca/files/curriculum/mathematics/en_mathematics_12_pre-calculus_elab.pdf                              | [ ]    |
| 04 | BC   | Calculus 12                  | Curriculum                                   | Primary   | bc/calc12.pdf                        | https://www2.gov.bc.ca/assets/gov/education/kindergarten-to-grade-12/teach/pdfs/curriculum/mathematics/calculus.pdf                                       | [ ]    |
| 05 | ON   | MPM2D                        | Ontario Curriculum Gr 9-10 Math (2005)       | Primary   | on/math_grades_9-10.pdf              | https://www.edu.gov.on.ca/eng/curriculum/secondary/math910curr.pdf                                                                                        | [ ]    |
| 06 | ON   | MCR3U / MHF4U / MCV4U / MDM4U | Ontario Curriculum Gr 11-12 Math (2007)     | Primary   | on/math_grades_11-12.pdf             | https://www.edu.gov.on.ca/eng/curriculum/secondary/math1112currb.pdf                                                                                      | [ ]    |
| 07 | AB   | Math 10C / 20-1 / 30-1       | Program of Studies + Achievement Indicators  | Primary   | ab/pos_10-12_indicators.pdf          | https://open.alberta.ca/dataset/d21d4b56-9784-4c1d-9540-bcd374e24a69/resource/8a6311d4-623f-425b-84e7-788d071a0e88/download/math10to12-ind.pdf            | [ ]    |
| 08 | AB   | Math 31                      | Program of Studies (1995)                    | Primary   | ab/math31.pdf                        | https://open.alberta.ca/dataset/e903b8f8-7342-4e31-b42c-d18abc7b7799/resource/322846ec-831a-48af-9f5a-338938ffd430/download/math31.pdf                    | [ ]    |
| 09 | AB   | Math 10C                     | Outcomes with Assessment Standards           | Standards | ab/math10c_standards.pdf             | https://open.alberta.ca/dataset/e639a847-7360-439a-a349-535fdc232862/resource/31fea684-5cc5-4e5b-a24f-3ad4e801904e/download/6026440-2012-06-outcomes-with-assessment-standards-for-mathematics-10c-2012.pdf | [ ]    |
| 10 | AB   | Math 20-1                    | Outcomes with Assessment Standards           | Standards | ab/math20-1_standards.pdf            | https://open.alberta.ca/publications/9781460111277                                                                                                        | [!]    |
| 11 | AB   | Math 30-1                    | Assessment Standards & Exemplars             | Standards | ab/math30-1_standards_exemplars.pdf  | https://www.alberta.ca/system/files/custom_downloaded_images/edc-math30-1-assessment-standards-exemplars.pdf                                              | [ ]    |
| 12 | AB   | Math 30-1                    | Diploma Exam Info Bulletin 2025-2026         | Annual    | ab/math30-1_bulletin_2025-26.pdf     | https://www.alberta.ca/system/files/custom_downloaded_images/edc-math-30-1-info-bulletin.pdf                                                              | [ ]    |
